count,name,artist_mbid,tag,n,clust_x3,clust_x5,clust_x10,clust_x15
28,christian rock,0c3db5f8-372a-4825-9e31-decf2d176333,christian_rock,24,1,1,10,13
14,pop rock,0c3db5f8-372a-4825-9e31-decf2d176333,pop_rock,11,3,3,8,9
10,singer-songwriter,0c3db5f8-372a-4825-9e31-decf2d176333,singer_songwriter,46,1,1,10,13
100,death metal,a0c695e5-a1a0-4250-98c0-946f2a41023e,death_metal,44,1,4,6,14
29,hardcore,a0c695e5-a1a0-4250-98c0-946f2a41023e,hardcore,186,2,2,4,5
23,metalcore,a0c695e5-a1a0-4250-98c0-946f2a41023e,metalcore,124,2,2,7,8
8,metal,a0c695e5-a1a0-4250-98c0-946f2a41023e,metal,168,2,2,7,10
100,hard rock,66c662b6-6e2f-4930-8610-912e24c63ed1,hard_rock,58,1,1,10,13
63,classic rock,66c662b6-6e2f-4930-8610-912e24c63ed1,classic_rock,48,1,1,10,13
57,rock,66c662b6-6e2f-4930-8610-912e24c63ed1,rock,216,2,2,3,3
31,heavy metal,66c662b6-6e2f-4930-8610-912e24c63ed1,heavy_metal,50,1,1,10,13
21,metal,66c662b6-6e2f-4930-8610-912e24c63ed1,metal,168,2,2,7,10
10,australian,66c662b6-6e2f-4930-8610-912e24c63ed1,australian,11,3,3,8,9
8,80s,66c662b6-6e2f-4930-8610-912e24c63ed1,80s,28,1,1,10,13
5,70s,66c662b6-6e2f-4930-8610-912e24c63ed1,70s,26,1,1,10,13
4,blues rock,66c662b6-6e2f-4930-8610-912e24c63ed1,blues_rock,11,3,3,8,9
100,punk,a66ebddc-ff04-46b8-820a-15c63e80dba1,punk,108,2,2,2,2
67,punk rock,a66ebddc-ff04-46b8-820a-15c63e80dba1,punk_rock,70,1,1,1,1
27,rock,a66ebddc-ff04-46b8-820a-15c63e80dba1,rock,216,2,2,3,3
22,indie,a66ebddc-ff04-46b8-820a-15c63e80dba1,indie,74,1,1,1,1
9,folk,a66ebddc-ff04-46b8-820a-15c63e80dba1,folk,37,1,1,10,13
7,hardcore,a66ebddc-ff04-46b8-820a-15c63e80dba1,hardcore,186,2,2,4,5
6,political,a66ebddc-ff04-46b8-820a-15c63e80dba1,political,13,3,3,8,9
6,alternative,a66ebddc-ff04-46b8-820a-15c63e80dba1,alternative,133,2,2,2,4
100,singer-songwriter,e3c4c4af-f83b-4168-84cb-898009dd0447,singer_songwriter,46,1,1,10,13
99,folk,e3c4c4af-f83b-4168-84cb-898009dd0447,folk,37,1,1,10,13
88,female vocalists,e3c4c4af-f83b-4168-84cb-898009dd0447,female_vocalists,31,1,1,10,13
67,indie,e3c4c4af-f83b-4168-84cb-898009dd0447,indie,74,1,1,1,1
24,piano,e3c4c4af-f83b-4168-84cb-898009dd0447,piano,44,3,5,9,12
9,alternative,e3c4c4af-f83b-4168-84cb-898009dd0447,alternative,133,2,2,2,4
100,hardcore,40b8a690-94e4-4c82-ad0f-73f4b841e46a,hardcore,186,2,2,4,5
46,hardcore punk,40b8a690-94e4-4c82-ad0f-73f4b841e46a,hardcore_punk,83,1,4,6,7
44,nyhc,40b8a690-94e4-4c82-ad0f-73f4b841e46a,nyhc,13,3,3,5,6
28,punk,40b8a690-94e4-4c82-ad0f-73f4b841e46a,punk,108,2,2,2,2
15,punk rock,40b8a690-94e4-4c82-ad0f-73f4b841e46a,punk_rock,70,1,1,1,1
5,oldschool hardcore,40b8a690-94e4-4c82-ad0f-73f4b841e46a,oldschool_hardcore,16,3,3,5,6
5,american,40b8a690-94e4-4c82-ad0f-73f4b841e46a,american,169,2,2,2,2
100,hard rock,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,hard_rock,58,1,1,10,13
38,rock,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,rock,216,2,2,3,3
30,australian,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,australian,11,3,3,8,9
24,classic rock,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,classic_rock,48,1,1,10,13
8,heavy metal,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,heavy_metal,50,1,1,10,13
3,metal,5365f55c-b1e1-48f9-b09f-078f7a14cb1f,metal,168,2,2,7,10
15,singer-songwriter,7291957b-c463-4275-a41c-a104c9e2337f,singer_songwriter,46,1,1,10,13
10,90s,7291957b-c463-4275-a41c-a104c9e2337f,90s,16,3,3,8,9
3,male vocalists,7291957b-c463-4275-a41c-a104c9e2337f,male_vocalists,19,3,3,8,9
3,american,7291957b-c463-4275-a41c-a104c9e2337f,american,169,2,2,2,2
100,shoegaze,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,shoegaze,12,3,3,8,9
75,black metal,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,black_metal,14,3,3,8,9
63,post-rock,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,post_rock,51,3,5,9,11
26,atmospheric,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,atmospheric,17,3,3,8,9
17,french,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,french,15,3,3,8,9
8,post-metal,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,post_metal,12,3,3,8,9
6,metal,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,metal,168,2,2,7,10
100,post-hardcore,bc1c8f3f-6f36-4086-a470-87ed813dd429,post_hardcore,69,1,4,6,14
63,screamo,bc1c8f3f-6f36-4086-a470-87ed813dd429,screamo,39,1,4,6,14
50,hardcore,bc1c8f3f-6f36-4086-a470-87ed813dd429,hardcore,186,2,2,4,5
28,emocore,bc1c8f3f-6f36-4086-a470-87ed813dd429,emocore,14,3,3,5,6
23,emo,bc1c8f3f-6f36-4086-a470-87ed813dd429,emo,36,1,1,1,1
12,canadian,bc1c8f3f-6f36-4086-a470-87ed813dd429,canadian,19,3,3,8,9
12,rock,bc1c8f3f-6f36-4086-a470-87ed813dd429,rock,216,2,2,3,3
7,punk,bc1c8f3f-6f36-4086-a470-87ed813dd429,punk,108,2,2,2,2
7,metalcore,bc1c8f3f-6f36-4086-a470-87ed813dd429,metalcore,124,2,2,7,8
6,post hardcore,bc1c8f3f-6f36-4086-a470-87ed813dd429,post_hardcore,69,1,4,6,14
100,hard rock,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,hard_rock,58,1,1,10,13
66,classic rock,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,classic_rock,48,1,1,10,13
52,rock,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,rock,216,2,2,3,3
44,heavy metal,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,heavy_metal,50,1,1,10,13
11,metal,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,metal,168,2,2,7,10
9,80s,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,80s,28,1,1,10,13
6,70s,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,70s,26,1,1,10,13
6,american,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,american,169,2,2,2,2
100,grunge,4bd95eea-b9f6-4d70-a36c-cfea77431553,grunge,10,3,3,8,9
40,rock,4bd95eea-b9f6-4d70-a36c-cfea77431553,rock,216,2,2,3,3
34,alternative rock,4bd95eea-b9f6-4d70-a36c-cfea77431553,alternative_rock,76,1,1,1,1
31,hard rock,4bd95eea-b9f6-4d70-a36c-cfea77431553,hard_rock,58,1,1,10,13
25,alternative,4bd95eea-b9f6-4d70-a36c-cfea77431553,alternative,133,2,2,2,4
11,90s,4bd95eea-b9f6-4d70-a36c-cfea77431553,90s,16,3,3,8,9
10,metal,4bd95eea-b9f6-4d70-a36c-cfea77431553,metal,168,2,2,7,10
8,heavy metal,4bd95eea-b9f6-4d70-a36c-cfea77431553,heavy_metal,50,1,1,10,13
6,alternative metal,4bd95eea-b9f6-4d70-a36c-cfea77431553,alternative_metal,24,1,1,10,13
100,punk,69421e11-e4c3-4854-951b-ceab4972e38e,punk,108,2,2,2,2
82,punk rock,69421e11-e4c3-4854-951b-ceab4972e38e,punk_rock,70,1,1,1,1
52,emo,69421e11-e4c3-4854-951b-ceab4972e38e,emo,36,1,1,1,1
47,rock,69421e11-e4c3-4854-951b-ceab4972e38e,rock,216,2,2,3,3
43,alternative,69421e11-e4c3-4854-951b-ceab4972e38e,alternative,133,2,2,2,4
26,pop punk,69421e11-e4c3-4854-951b-ceab4972e38e,pop_punk,48,1,1,1,1
14,alternative rock,69421e11-e4c3-4854-951b-ceab4972e38e,alternative_rock,76,1,1,1,1
13,indie,69421e11-e4c3-4854-951b-ceab4972e38e,indie,74,1,1,1,1
100,deathcore,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,deathcore,21,3,3,5,6
38,death metal,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,death_metal,44,1,4,6,14
28,metalcore,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,metalcore,124,2,2,7,8
16,grindcore,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,grindcore,11,3,3,8,9
13,metal,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,metal,168,2,2,7,10
5,melodic death metal,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,melodic_death_metal,31,1,4,6,14
4,hardcore,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,hardcore,186,2,2,4,5
4,american,eb55f2c5-e7dc-4697-9ed7-864438d10eb6,american,169,2,2,2,2
100,metalcore,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,metalcore,124,2,2,7,8
74,hardcore,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,hardcore,186,2,2,4,5
32,christian,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,christian,80,1,4,6,14
31,christian hardcore,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,christian_hardcore,18,3,3,5,6
25,christian metalcore,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,christian_metalcore,27,1,4,6,14
12,metal,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,metal,168,2,2,7,10
9,christian metal,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,christian_metal,16,3,3,5,6
6,death metal,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,death_metal,44,1,4,6,14
3,melodic death metal,8648a9ef-9962-48c7-8d95-4d78c2efd6dd,melodic_death_metal,31,1,4,6,14
100,melodic death metal,5b687684-ad34-4a9f-b425-0e7aa81fbd38,melodic_death_metal,31,1,4,6,14
63,death metal,5b687684-ad34-4a9f-b425-0e7aa81fbd38,death_metal,44,1,4,6,14
25,swedish,5b687684-ad34-4a9f-b425-0e7aa81fbd38,swedish,14,3,3,8,9
24,metal,5b687684-ad34-4a9f-b425-0e7aa81fbd38,metal,168,2,2,7,10
3,black metal,5b687684-ad34-4a9f-b425-0e7aa81fbd38,black_metal,14,3,3,8,9
100,post-rock,0fb7d725-4dfd-45d2-944c-6ffa375a142d,post_rock,51,3,5,9,11
52,instrumental,0fb7d725-4dfd-45d2-944c-6ffa375a142d,instrumental,87,3,5,9,12
33,experimental,0fb7d725-4dfd-45d2-944c-6ffa375a142d,experimental,48,3,5,9,11
14,post rock,0fb7d725-4dfd-45d2-944c-6ffa375a142d,post_rock,51,3,5,9,11
4,post-metal,0fb7d725-4dfd-45d2-944c-6ffa375a142d,post_metal,12,3,3,8,9
4,rock,0fb7d725-4dfd-45d2-944c-6ffa375a142d,rock,216,2,2,3,3
3,progressive rock,0fb7d725-4dfd-45d2-944c-6ffa375a142d,progressive_rock,18,3,3,8,9
2,ambient,0fb7d725-4dfd-45d2-944c-6ffa375a142d,ambient,43,3,5,9,11
100,christian,82afae8d-a22d-441a-a4b9-54e7c145eb6a,christian,80,1,4,6,14
95,folk,82afae8d-a22d-441a-a4b9-54e7c145eb6a,folk,37,1,1,10,13
45,acoustic,82afae8d-a22d-441a-a4b9-54e7c145eb6a,acoustic,27,1,1,10,13
6,singer-songwriter,82afae8d-a22d-441a-a4b9-54e7c145eb6a,singer_songwriter,46,1,1,10,13
100,rock,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,rock,216,2,2,3,3
91,hard rock,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,hard_rock,58,1,1,10,13
44,metal,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,metal,168,2,2,7,10
12,punk,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,punk,108,2,2,2,2
10,american,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,american,169,2,2,2,2
9,alternative,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,alternative,133,2,2,2,4
9,alternative rock,ef2d4a1c-195e-41f4-839e-bdfd3f85adc3,alternative_rock,76,1,1,1,1
100,acoustic,39d6c679-b41c-470c-a755-4566bde24063,acoustic,27,1,1,10,13
83,instrumental,39d6c679-b41c-470c-a755-4566bde24063,instrumental,87,3,5,9,12
8,chillout,39d6c679-b41c-470c-a755-4566bde24063,chillout,16,3,3,8,9
6,folk,39d6c679-b41c-470c-a755-4566bde24063,folk,37,1,1,10,13
5,american,39d6c679-b41c-470c-a755-4566bde24063,american,169,2,2,2,2
100,hardcore,94d313f8-32a1-45d3-ae71-a38473613603,hardcore,186,2,2,4,5
33,metalcore,94d313f8-32a1-45d3-ae71-a38473613603,metalcore,124,2,2,7,8
6,metal,94d313f8-32a1-45d3-ae71-a38473613603,metal,168,2,2,7,10
5,hardcore punk,94d313f8-32a1-45d3-ae71-a38473613603,hardcore_punk,83,1,4,6,7
4,alternative,94d313f8-32a1-45d3-ae71-a38473613603,alternative,133,2,2,2,4
4,alternative metal,94d313f8-32a1-45d3-ae71-a38473613603,alternative_metal,24,1,1,10,13
100,alternative,05071a7e-e71c-4306-a509-591cd3686893,alternative,133,2,2,2,4
100,alternative rock,05071a7e-e71c-4306-a509-591cd3686893,alternative_rock,76,1,1,1,1
78,rock,05071a7e-e71c-4306-a509-591cd3686893,rock,216,2,2,3,3
52,punk rock,05071a7e-e71c-4306-a509-591cd3686893,punk_rock,70,1,1,1,1
34,emo,05071a7e-e71c-4306-a509-591cd3686893,emo,36,1,1,1,1
13,indie,05071a7e-e71c-4306-a509-591cd3686893,indie,74,1,1,1,1
12,pop punk,05071a7e-e71c-4306-a509-591cd3686893,pop_punk,48,1,1,1,1
12,punk,05071a7e-e71c-4306-a509-591cd3686893,punk,108,2,2,2,2
8,american,05071a7e-e71c-4306-a509-591cd3686893,american,169,2,2,2,2
100,melodic death metal,cfef3625-8975-4bfb-901e-c0c6cbec9408,melodic_death_metal,31,1,4,6,14
68,metalcore,cfef3625-8975-4bfb-901e-c0c6cbec9408,metalcore,124,2,2,7,8
29,thrash metal,cfef3625-8975-4bfb-901e-c0c6cbec9408,thrash_metal,26,1,4,6,14
19,metal,cfef3625-8975-4bfb-901e-c0c6cbec9408,metal,168,2,2,7,10
19,death metal,cfef3625-8975-4bfb-901e-c0c6cbec9408,death_metal,44,1,4,6,14
6,british,cfef3625-8975-4bfb-901e-c0c6cbec9408,british,54,1,1,10,13
4,melodic metalcore,cfef3625-8975-4bfb-901e-c0c6cbec9408,melodic_metalcore,34,1,4,6,14
4,hardcore,cfef3625-8975-4bfb-901e-c0c6cbec9408,hardcore,186,2,2,4,5
2,progressive metal,cfef3625-8975-4bfb-901e-c0c6cbec9408,progressive_metal,18,3,3,8,9
100,black metal,fc27a448-babb-4b95-911f-e5a285d72b4e,black_metal,14,3,3,8,9
18,metal,fc27a448-babb-4b95-911f-e5a285d72b4e,metal,168,2,2,7,10
13,christian,fc27a448-babb-4b95-911f-e5a285d72b4e,christian,80,1,4,6,14
12,death metal,fc27a448-babb-4b95-911f-e5a285d72b4e,death_metal,44,1,4,6,14
12,christian metal,fc27a448-babb-4b95-911f-e5a285d72b4e,christian_metal,16,3,3,5,6
100,punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,punk,108,2,2,2,2
78,punk rock,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,punk_rock,70,1,1,1,1
32,political,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,political,13,3,3,8,9
20,rock,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,rock,216,2,2,3,3
8,hardcore punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,hardcore_punk,83,1,4,6,7
8,hardcore,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,hardcore,186,2,2,4,5
5,alternative,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,alternative,133,2,2,2,4
4,american,b88f21a7-a1b9-48fd-bbc4-ae758026f17f,american,169,2,2,2,2
100,acoustic,163dbbf3-4e39-4007-b930-e3648bb94906,acoustic,27,1,1,10,13
71,instrumental,163dbbf3-4e39-4007-b930-e3648bb94906,instrumental,87,3,5,9,12
9,canadian,163dbbf3-4e39-4007-b930-e3648bb94906,canadian,19,3,3,8,9
8,experimental,163dbbf3-4e39-4007-b930-e3648bb94906,experimental,48,3,5,9,11
5,chillout,163dbbf3-4e39-4007-b930-e3648bb94906,chillout,16,3,3,8,9
100,classical,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,classical,48,3,5,9,12
44,romantic,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,romantic,14,3,5,9,15
23,composers,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,composers,29,3,5,9,12
22,composer,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,composer,35,3,5,9,12
10,instrumental,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,instrumental,87,3,5,9,12
6,classic,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,classic,24,3,5,9,12
100,classical,ad79836d-9849-44df-8789-180bbc823f3c,classical,48,3,5,9,12
51,baroque,ad79836d-9849-44df-8789-180bbc823f3c,baroque,11,3,5,9,15
27,instrumental,ad79836d-9849-44df-8789-180bbc823f3c,instrumental,87,3,5,9,12
23,composers,ad79836d-9849-44df-8789-180bbc823f3c,composers,29,3,5,9,12
19,classic,ad79836d-9849-44df-8789-180bbc823f3c,classic,24,3,5,9,12
10,italian,ad79836d-9849-44df-8789-180bbc823f3c,italian,15,3,5,9,15
6,composer,ad79836d-9849-44df-8789-180bbc823f3c,composer,35,3,5,9,12
77,instrumental,788ad31c-bf0c-4a31-83f8-b8b130d79c76,instrumental,87,3,5,9,12
56,metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76,metal,168,2,2,7,10
26,heavy metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76,heavy_metal,50,1,1,10,13
9,rock,788ad31c-bf0c-4a31-83f8-b8b130d79c76,rock,216,2,2,3,3
100,baroque,a3546087-fe59-47d3-a3a8-42d58e2573c7,baroque,11,3,5,9,15
93,classical,a3546087-fe59-47d3-a3a8-42d58e2573c7,classical,48,3,5,9,12
38,italian,a3546087-fe59-47d3-a3a8-42d58e2573c7,italian,15,3,5,9,15
28,composers,a3546087-fe59-47d3-a3a8-42d58e2573c7,composers,29,3,5,9,12
9,composer,a3546087-fe59-47d3-a3a8-42d58e2573c7,composer,35,3,5,9,12
4,classic,a3546087-fe59-47d3-a3a8-42d58e2573c7,classic,24,3,5,9,12
100,melodic death metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,melodic_death_metal,31,1,4,6,14
53,death metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,death_metal,44,1,4,6,14
29,metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,metal,168,2,2,7,10
20,swedish,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,swedish,14,3,3,8,9
6,thrash metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,thrash_metal,26,1,4,6,14
5,female vocalists,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,female_vocalists,31,1,1,10,13
4,heavy metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,heavy_metal,50,1,1,10,13
100,post-hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7,post_hardcore,69,1,4,6,14
49,hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7,hardcore,186,2,2,4,5
44,screamo,d570eb4d-557b-41c2-9753-bd4cd08defe7,screamo,39,1,4,6,14
39,christian,d570eb4d-557b-41c2-9753-bd4cd08defe7,christian,80,1,4,6,14
22,post hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7,post_hardcore,69,1,4,6,14
14,indie,d570eb4d-557b-41c2-9753-bd4cd08defe7,indie,74,1,1,1,1
12,rock,d570eb4d-557b-41c2-9753-bd4cd08defe7,rock,216,2,2,3,3
12,metalcore,d570eb4d-557b-41c2-9753-bd4cd08defe7,metalcore,124,2,2,7,8
11,emocore,d570eb4d-557b-41c2-9753-bd4cd08defe7,emocore,14,3,3,5,6
10,indie rock,d570eb4d-557b-41c2-9753-bd4cd08defe7,indie_rock,27,1,1,10,13
100,metalcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,metalcore,124,2,2,7,8
27,hardcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,hardcore,186,2,2,4,5
25,metal,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,metal,168,2,2,7,10
22,melodic death metal,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,melodic_death_metal,31,1,4,6,14
15,christian,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,christian,80,1,4,6,14
5,screamo,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,screamo,39,1,4,6,14
5,christian metalcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,christian_metalcore,27,1,4,6,14
