count,name,artist_mbid
12,punk,05071a7e-e71c-4306-a509-591cd3686893
8,american,05071a7e-e71c-4306-a509-591cd3686893
100,melodic death metal,cfef3625-8975-4bfb-901e-c0c6cbec9408
68,metalcore,cfef3625-8975-4bfb-901e-c0c6cbec9408
29,thrash metal,cfef3625-8975-4bfb-901e-c0c6cbec9408
19,metal,cfef3625-8975-4bfb-901e-c0c6cbec9408
19,death metal,cfef3625-8975-4bfb-901e-c0c6cbec9408
6,british,cfef3625-8975-4bfb-901e-c0c6cbec9408
4,melodic metalcore,cfef3625-8975-4bfb-901e-c0c6cbec9408
4,hardcore,cfef3625-8975-4bfb-901e-c0c6cbec9408
3,welsh,cfef3625-8975-4bfb-901e-c0c6cbec9408
2,progressive metal,cfef3625-8975-4bfb-901e-c0c6cbec9408
100,black metal,fc27a448-babb-4b95-911f-e5a285d72b4e
51,unblack metal,fc27a448-babb-4b95-911f-e5a285d72b4e
40,christian black metal,fc27a448-babb-4b95-911f-e5a285d72b4e
29,doom metal,fc27a448-babb-4b95-911f-e5a285d72b4e
18,metal,fc27a448-babb-4b95-911f-e5a285d72b4e
15,norwegian,fc27a448-babb-4b95-911f-e5a285d72b4e
13,christian,fc27a448-babb-4b95-911f-e5a285d72b4e
12,death metal,fc27a448-babb-4b95-911f-e5a285d72b4e
12,christian metal,fc27a448-babb-4b95-911f-e5a285d72b4e
10,melodic black metal,fc27a448-babb-4b95-911f-e5a285d72b4e
100,punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
78,punk rock,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
32,political,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
28,political punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
20,rock,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
8,hardcore punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
8,hardcore,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
5,alternative,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
4,american,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
3,street punk,b88f21a7-a1b9-48fd-bbc4-ae758026f17f
100,acoustic,163dbbf3-4e39-4007-b930-e3648bb94906
71,instrumental,163dbbf3-4e39-4007-b930-e3648bb94906
66,fingerstyle,163dbbf3-4e39-4007-b930-e3648bb94906
52,guitar,163dbbf3-4e39-4007-b930-e3648bb94906
50,acoustic guitar,163dbbf3-4e39-4007-b930-e3648bb94906
13,guitar virtuoso,163dbbf3-4e39-4007-b930-e3648bb94906
9,canadian,163dbbf3-4e39-4007-b930-e3648bb94906
8,experimental,163dbbf3-4e39-4007-b930-e3648bb94906
5,chillout,163dbbf3-4e39-4007-b930-e3648bb94906
5,antoine dufour,163dbbf3-4e39-4007-b930-e3648bb94906
100,classical,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
44,romantic,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
34,czech,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
23,composers,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
22,composer,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
10,instrumental,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
7,symphony,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
6,opera,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
6,classic,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
4,czech composers,819eaeb2-8dd8-48a5-ad07-0bcd137985ef
100,classical,ad79836d-9849-44df-8789-180bbc823f3c
51,baroque,ad79836d-9849-44df-8789-180bbc823f3c
27,instrumental,ad79836d-9849-44df-8789-180bbc823f3c
